query,dataset,run_number,vanilla_time_sec
12.sql,tpch,4,19.61
13.sql,tpch,4,18.59
14.sql,tpch,4,15.61
15.sql,tpch,4,17.22
16.sql,tpch,4,17.68
17.sql,tpch,4,33.95
18.sql,tpch,4,33.18
19.sql,tpch,4,14.61
2.sql,tpch,4,15.76
20.sql,tpch,4,17.53
21.sql,tpch,4,33.48
22.sql,tpch,4,15.41
3.sql,tpch,4,19.86
4.sql,tpch,4,26.90
5.sql,tpch,4,31.23
6.sql,tpch,4,11.60
7.sql,tpch,4,29.60
8.sql,tpch,4,24.35
9.sql,tpch,4,30.93
query1.sql,tpcds,4,15.87
query10.sql,tpcds,4,16.22
query11.sql,tpcds,4,28.09
query12.sql,tpcds,4,14.58
query13.sql,tpcds,4,15.34
query14.sql,tpcds,4,fail
query15.sql,tpcds,4,14.12
query16.sql,tpcds,4,15.65
query17.sql,tpcds,4,30.52
query18.sql,tpcds,4,15.58
query19.sql,tpcds,4,15.41
query2.sql,tpcds,4,15.12
query20.sql,tpcds,4,13.54
query21.sql,tpcds,4,14.31
query22.sql,tpcds,4,14.46
query23.sql,tpcds,4,fail
query24.sql,tpcds,4,fail
query25.sql,tpcds,4,28.88
query26.sql,tpcds,4,14.01
query27.sql,tpcds,4,15.39
query28.sql,tpcds,4,19.96
query29.sql,tpcds,4,29.33
query3.sql,tpcds,4,13.52
query30.sql,tpcds,4,fail
query31.sql,tpcds,4,19.54
query32.sql,tpcds,4,14.31
query33.sql,tpcds,4,16.11
query34.sql,tpcds,4,14.73
query35.sql,tpcds,4,17.31
query36.sql,tpcds,4,14.66
query37.sql,tpcds,4,15.74
query38.sql,tpcds,4,20.23
query39.sql,tpcds,4,fail
query4.sql,tpcds,4,37.71
query40.sql,tpcds,4,20.56
query41.sql,tpcds,4,10.66
query42.sql,tpcds,4,12.87
query43.sql,tpcds,4,12.90
query44.sql,tpcds,4,15.40
query45.sql,tpcds,4,14.42
query46.sql,tpcds,4,15.31
query47.sql,tpcds,4,18.43
query48.sql,tpcds,4,15.06
query49.sql,tpcds,4,20.73
query5.sql,tpcds,4,19.65
query50.sql,tpcds,4,23.43
query51.sql,tpcds,4,23.51
query52.sql,tpcds,4,12.91
query53.sql,tpcds,4,14.26
query54.sql,tpcds,4,18.10
query55.sql,tpcds,4,13.90
query56.sql,tpcds,4,15.78
query57.sql,tpcds,4,15.60
query58.sql,tpcds,4,17.15
query59.sql,tpcds,4,16.72
query6.sql,tpcds,4,22.94
query60.sql,tpcds,4,17.09
query61.sql,tpcds,4,11.04
query62.sql,tpcds,4,14.17
query63.sql,tpcds,4,14.39
query64.sql,tpcds,4,39.09
query65.sql,tpcds,4,18.82
query66.sql,tpcds,4,16.94
query67.sql,tpcds,4,fail
query68.sql,tpcds,4,14.95
query69.sql,tpcds,4,11.91
query7.sql,tpcds,4,14.54
query70.sql,tpcds,4,15.93
query71.sql,tpcds,4,14.91
query72.sql,tpcds,4,36.07
query73.sql,tpcds,4,14.62
query74.sql,tpcds,4,27.52
query75.sql,tpcds,4,24.47
query76.sql,tpcds,4,15.00
query77.sql,tpcds,4,17.25
query78.sql,tpcds,4,37.27
query79.sql,tpcds,4,14.49
query8.sql,tpcds,4,14.49
query80.sql,tpcds,4,36.49
query81.sql,tpcds,4,15.16
query82.sql,tpcds,4,16.54
query83.sql,tpcds,4,14.39
query84.sql,tpcds,4,14.53
query85.sql,tpcds,4,17.62
query86.sql,tpcds,4,13.78
query87.sql,tpcds,4,20.28
query88.sql,tpcds,4,18.36
query89.sql,tpcds,4,14.53
query9.sql,tpcds,4,15.07
query90.sql,tpcds,4,12.49
query91.sql,tpcds,4,12.89
query92.sql,tpcds,4,14.51
query93.sql,tpcds,4,31.28
query94.sql,tpcds,4,20.57
query95.sql,tpcds,4,25.60
query96.sql,tpcds,4,12.06
query97.sql,tpcds,4,20.24
query98.sql,tpcds,4,14.93
query99.sql,tpcds,4,14.55
1.sql,tpch,5,31.19
10.sql,tpch,5,21.51
11.sql,tpch,5,12.28
12.sql,tpch,5,19.05
13.sql,tpch,5,18.57
14.sql,tpch,5,14.56
15.sql,tpch,5,16.66
16.sql,tpch,5,17.70
17.sql,tpch,5,34.35
18.sql,tpch,5,34.18
19.sql,tpch,5,14.84
2.sql,tpch,5,15.91
20.sql,tpch,5,16.75
21.sql,tpch,5,33.33
22.sql,tpch,5,15.92
3.sql,tpch,5,21.24
4.sql,tpch,5,19.81
5.sql,tpch,5,26.84
6.sql,tpch,5,12.06
7.sql,tpch,5,28.80
8.sql,tpch,5,23.70
9.sql,tpch,5,31.04
query1.sql,tpcds,5,15.79
query10.sql,tpcds,5,15.59
query11.sql,tpcds,5,28.28
query12.sql,tpcds,5,14.12
query13.sql,tpcds,5,13.80
query14.sql,tpcds,5,fail
query15.sql,tpcds,5,14.60
query16.sql,tpcds,5,15.98
query17.sql,tpcds,5,30.15
query18.sql,tpcds,5,15.95
query19.sql,tpcds,5,15.89
query2.sql,tpcds,5,14.58
query20.sql,tpcds,5,14.13
query21.sql,tpcds,5,13.10
query22.sql,tpcds,5,14.63
query23.sql,tpcds,5,fail
query24.sql,tpcds,5,fail
query25.sql,tpcds,5,29.78
query26.sql,tpcds,5,14.46
query27.sql,tpcds,5,14.91
query28.sql,tpcds,5,20.64
query29.sql,tpcds,5,29.54
query3.sql,tpcds,5,13.16
query30.sql,tpcds,5,fail
query31.sql,tpcds,5,20.78
query32.sql,tpcds,5,14.20
query33.sql,tpcds,5,16.58
query34.sql,tpcds,5,14.81
query35.sql,tpcds,5,16.66
query36.sql,tpcds,5,14.43
query37.sql,tpcds,5,15.13
query38.sql,tpcds,5,20.83
query39.sql,tpcds,5,fail
query4.sql,tpcds,5,37.41
query40.sql,tpcds,5,22.07
query41.sql,tpcds,5,10.16
query42.sql,tpcds,5,12.53
query43.sql,tpcds,5,13.05
query44.sql,tpcds,5,15.54
query45.sql,tpcds,5,14.53
query46.sql,tpcds,5,15.21
query47.sql,tpcds,5,19.37
query48.sql,tpcds,5,14.64
query49.sql,tpcds,5,20.95
query5.sql,tpcds,5,19.79
query50.sql,tpcds,5,23.21
query51.sql,tpcds,5,23.94
query52.sql,tpcds,5,13.49
query53.sql,tpcds,5,14.41
query54.sql,tpcds,5,18.34
query55.sql,tpcds,5,13.13
query56.sql,tpcds,5,16.42
query57.sql,tpcds,5,15.86
query58.sql,tpcds,5,16.51
query59.sql,tpcds,5,16.08
query6.sql,tpcds,5,22.72
query60.sql,tpcds,5,17.51
query61.sql,tpcds,5,10.73
query62.sql,tpcds,5,13.81
query63.sql,tpcds,5,14.26
query64.sql,tpcds,5,35.95
query65.sql,tpcds,5,19.07
query66.sql,tpcds,5,16.74
query67.sql,tpcds,5,fail
query68.sql,tpcds,5,15.49
query69.sql,tpcds,5,12.35
query7.sql,tpcds,5,16.30
query70.sql,tpcds,5,16.05
query71.sql,tpcds,5,15.11
query72.sql,tpcds,5,36.80
query73.sql,tpcds,5,14.52
query74.sql,tpcds,5,26.44
query75.sql,tpcds,5,25.07
query76.sql,tpcds,5,15.32
query77.sql,tpcds,5,18.17
query78.sql,tpcds,5,36.11
query79.sql,tpcds,5,14.69
query8.sql,tpcds,5,14.72
query80.sql,tpcds,5,37.04
query81.sql,tpcds,5,15.27
query82.sql,tpcds,5,16.12
query83.sql,tpcds,5,14.83
query84.sql,tpcds,5,14.18
query85.sql,tpcds,5,18.43
query86.sql,tpcds,5,13.79
query87.sql,tpcds,5,20.51
query88.sql,tpcds,5,18.12
query89.sql,tpcds,5,15.17
query9.sql,tpcds,5,14.88
query90.sql,tpcds,5,12.41
query91.sql,tpcds,5,13.08
query92.sql,tpcds,5,15.06
query93.sql,tpcds,5,25.85
query94.sql,tpcds,5,19.98
query95.sql,tpcds,5,25.63
query96.sql,tpcds,5,12.42
query97.sql,tpcds,5,19.62
query98.sql,tpcds,5,15.18
query99.sql,tpcds,5,14.07
1.sql,tpch,6,32.62
10.sql,tpch,6,22.80
11.sql,tpch,6,12.07
12.sql,tpch,6,19.48
13.sql,tpch,6,20.41
14.sql,tpch,6,14.96
15.sql,tpch,6,17.07
16.sql,tpch,6,17.80
17.sql,tpch,6,33.53
18.sql,tpch,6,33.91
19.sql,tpch,6,14.59
2.sql,tpch,6,16.59
20.sql,tpch,6,16.57
21.sql,tpch,6,33.27
22.sql,tpch,6,15.47
3.sql,tpch,6,21.96
4.sql,tpch,6,22.30
5.sql,tpch,6,30.14
6.sql,tpch,6,11.95
7.sql,tpch,6,27.28
8.sql,tpch,6,24.47
9.sql,tpch,6,31.00
query1.sql,tpcds,6,16.13
query10.sql,tpcds,6,16.37
query11.sql,tpcds,6,28.98
query12.sql,tpcds,6,14.24
query13.sql,tpcds,6,14.06
query14.sql,tpcds,6,fail
query15.sql,tpcds,6,14.74
query16.sql,tpcds,6,16.51
query17.sql,tpcds,6,30.65
query18.sql,tpcds,6,16.41
query19.sql,tpcds,6,14.87
query2.sql,tpcds,6,14.86
query20.sql,tpcds,6,14.11
query21.sql,tpcds,6,13.66
query22.sql,tpcds,6,14.34
query23.sql,tpcds,6,fail
query24.sql,tpcds,6,fail
query25.sql,tpcds,6,29.53
query26.sql,tpcds,6,14.92
query27.sql,tpcds,6,15.86
query28.sql,tpcds,6,18.67
query29.sql,tpcds,6,29.92
query3.sql,tpcds,6,13.30
query30.sql,tpcds,6,fail
query31.sql,tpcds,6,18.79
query32.sql,tpcds,6,14.29
query33.sql,tpcds,6,15.72
query34.sql,tpcds,6,14.39
query35.sql,tpcds,6,17.19
query36.sql,tpcds,6,14.94
query37.sql,tpcds,6,16.11
query38.sql,tpcds,6,20.01
query39.sql,tpcds,6,fail
query4.sql,tpcds,6,37.67
query40.sql,tpcds,6,20.11
query41.sql,tpcds,6,10.52
query42.sql,tpcds,6,12.95
query43.sql,tpcds,6,12.88
query44.sql,tpcds,6,15.34
query45.sql,tpcds,6,13.15
query46.sql,tpcds,6,15.12
query47.sql,tpcds,6,19.12
query48.sql,tpcds,6,15.07
query49.sql,tpcds,6,20.46
query5.sql,tpcds,6,20.10
query50.sql,tpcds,6,22.35
query51.sql,tpcds,6,23.53
query52.sql,tpcds,6,12.80
query53.sql,tpcds,6,14.28
query54.sql,tpcds,6,19.43
query55.sql,tpcds,6,13.31
query56.sql,tpcds,6,16.33
query57.sql,tpcds,6,15.29
query58.sql,tpcds,6,16.29
query59.sql,tpcds,6,16.38
query6.sql,tpcds,6,22.89
query60.sql,tpcds,6,18.23
query61.sql,tpcds,6,11.11
query62.sql,tpcds,6,14.09
query63.sql,tpcds,6,14.12
query64.sql,tpcds,6,37.10
query65.sql,tpcds,6,19.17
query66.sql,tpcds,6,16.35
query67.sql,tpcds,6,fail
query68.sql,tpcds,6,14.72
query69.sql,tpcds,6,11.53
query7.sql,tpcds,6,16.42
query70.sql,tpcds,6,16.11
query71.sql,tpcds,6,14.94
query72.sql,tpcds,6,36.71
query73.sql,tpcds,6,14.28
query74.sql,tpcds,6,27.50
query75.sql,tpcds,6,25.16
query76.sql,tpcds,6,15.55
query77.sql,tpcds,6,16.67
query78.sql,tpcds,6,36.20
query79.sql,tpcds,6,14.71
query8.sql,tpcds,6,14.38
query80.sql,tpcds,6,38.53
query81.sql,tpcds,6,15.37
query82.sql,tpcds,6,16.53
query83.sql,tpcds,6,14.59
query84.sql,tpcds,6,13.90
query85.sql,tpcds,6,17.71
query86.sql,tpcds,6,13.48
query87.sql,tpcds,6,20.63
query88.sql,tpcds,6,16.92
query89.sql,tpcds,6,14.98
query9.sql,tpcds,6,15.66
query90.sql,tpcds,6,12.82
query91.sql,tpcds,6,12.81
query92.sql,tpcds,6,14.94
query93.sql,tpcds,6,26.79
query94.sql,tpcds,6,19.18
query95.sql,tpcds,6,27.10
query96.sql,tpcds,6,11.96
query97.sql,tpcds,6,18.89
query98.sql,tpcds,6,14.87
query99.sql,tpcds,6,13.87
1.sql,tpch,7,32.23
10.sql,tpch,7,21.76
11.sql,tpch,7,12.24
12.sql,tpch,7,17.41
13.sql,tpch,7,18.12
14.sql,tpch,7,14.97
15.sql,tpch,7,16.87
16.sql,tpch,7,18.47
17.sql,tpch,7,34.62
18.sql,tpch,7,32.91
19.sql,tpch,7,15.30
2.sql,tpch,7,15.81
20.sql,tpch,7,16.27
21.sql,tpch,7,33.15
22.sql,tpch,7,16.38
3.sql,tpch,7,21.72
4.sql,tpch,7,27.47
5.sql,tpch,7,35.04
6.sql,tpch,7,11.45
7.sql,tpch,7,32.81
