query,dataset,avg_vanilla_time,avg_listener_register_time,avg_listener_bare_time,avg_listener_nowrite_time,avg_listener_full_time,overhead_register,overhead_bare,overhead_nowrite,overhead_write,total_overhead,clipped,overhead_register_pct,overhead_bare_pct,overhead_nowrite_pct,overhead_write_pct,listener_overhead_pct
query15.sql,tpcds,14.42111111111111,15.403333333333332,15.345555555555555,15.25,15.444444444444445,0.982222222222223,0.0,0.0,0.19444444444444464,1.0233333333333352,False,95.98262757871868,0.0,0.0,19.001085776330058,7.096078280298958
query16.sql,tpcds,16.57888888888889,17.553333333333335,17.74,17.44666666666667,17.405555555555555,0.974444444444444,0.18666666666666387,0.0,0.0,0.8266666666666644,False,117.87634408602176,22.580645161290043,0.0,0.0,4.986260974465504
query17.sql,tpcds,31.011111111111113,32.397777777777776,32.806666666666665,32.61333333333333,32.76555555555555,1.3866666666666632,0.40888888888888886,0.0,0.15222222222222115,1.754444444444438,False,79.03736542115271,23.305889803673292,0.0,8.676377454084834,5.6574704407022365
query18.sql,tpcds,15.30888888888889,16.68111111111111,16.804444444444446,16.54111111111111,16.65777777777778,1.3722222222222218,0.12333333333333485,0.0,0.1166666666666707,1.348888888888892,False,101.72981878088936,9.143327841845233,0.0,8.649093904448385,8.811148207287
query19.sql,tpcds,14.582222222222223,15.417777777777777,15.906666666666666,15.621111111111112,15.923333333333334,0.8355555555555547,0.48888888888888893,0.0,0.3022222222222215,1.3411111111111111,False,62.30323115161551,36.454018227009115,0.0,22.53521126760558,9.196891191709843
query2.sql,tpcds,14.375555555555556,15.956666666666669,15.826666666666666,15.899999999999999,16.17,1.5811111111111131,0.0,0.07333333333333236,0.2700000000000031,1.794444444444446,False,88.11145510835917,0.0,4.08668730650149,15.046439628483132,12.482609367753914
query20.sql,tpcds,13.523333333333333,14.901111111111113,14.633333333333333,14.846666666666668,15.0,1.37777777777778,0.0,0.2133333333333347,0.15333333333333243,1.4766666666666666,False,93.30323551542529,0.0,14.446952595936887,10.38374717832951,10.919398570372195
query21.sql,tpcds,13.63,14.598888888888887,14.822222222222223,14.719999999999999,14.895555555555555,0.9688888888888858,0.22333333333333627,0.0,0.17555555555555635,1.2655555555555544,False,76.55838454784882,17.64705882352966,0.0,13.87181738366996,9.285073775169145
query22.sql,tpcds,14.335555555555556,15.55777777777778,15.467777777777778,15.34222222222222,15.795555555555556,1.2222222222222232,0.0,0.0,0.4533333333333349,1.459999999999999,False,83.71385083713862,0.0,0.0,31.05022831050241,10.184467524414814
query23.sql,tpcds,,9.428888888888888,9.406666666666666,9.588888888888889,9.302222222222222,,0.0,0.18222222222222229,0.0,,False,,,,,
