query,dataset,register_mean,bare_mean,full_mean,vanilla_mean,nowrite_mean
query115.sql,tpcds,2347.4444444444443,2261.4444444444443,2259.3333333333335,2346.5555555555557,2291.6666666666665
query5.sql,tpcds,6804.888888888889,6875.222222222223,7053.555555555556,7067.111111111111,7995.111111111111
query126.sql,tpcds,1691.4444444444443,1694.4444444444443,1710.3333333333333,2084.6666666666665,1697.6666666666667
query82.sql,tpcds,3083.8888888888887,2900.6666666666665,3059.777777777778,2944.222222222222,3088.5555555555557
query117.sql,tpcds,2100.8888888888887,2121.4444444444443,2188.3333333333335,2231.222222222222,2210.5555555555557
query120.sql,tpcds,1823.111111111111,1809.4444444444443,1960.4444444444443,1880.0,1841.2222222222222
query33.sql,tpcds,3489.5555555555557,3542.6666666666665,3566.8888888888887,3594.5555555555557,3618.1111111111113
query26.sql,tpcds,2438.0,2716.1111111111113,2785.8888888888887,2519.222222222222,2567.4444444444443
query25.sql,tpcds,13907.444444444445,13375.888888888889,15258.444444444445,13361.0,13940.444444444445
query107.sql,tpcds,975.2222222222222,1198.888888888889,1179.2222222222222,1092.2222222222222,966.5555555555555
query12.sql,tpcds,1710.7777777777778,1700.6666666666667,1708.7777777777778,1827.0,1900.0
query48.sql,tpcds,3182.777777777778,3266.1111111111113,3202.5555555555557,3091.8888888888887,2952.5555555555557
query61.sql,tpcds,1804.888888888889,1736.5555555555557,1709.5555555555557,1807.111111111111,1804.4444444444443
query2.sql,tpcds,3381.222222222222,3343.4444444444443,3397.0,3550.4444444444443,3401.0
query57.sql,tpcds,9570.222222222223,9372.0,9544.555555555555,9487.0,8970.222222222223
21.sql,tpch,27178.555555555555,24467.444444444445,27676.444444444445,23516.444444444445,23911.0
5.sql,tpch,21069.777777777777,16959.0,20645.777777777777,16031.0,15784.444444444445
37.sql,tpch,2786.777777777778,2250.0,2459.3333333333335,2228.222222222222,2262.777777777778
6.sql,tpch,1572.6666666666667,1600.5555555555557,1552.4444444444443,1599.0,1670.3333333333333
28.sql,tpch,9108.777777777777,8175.444444444444,9118.555555555555,8549.888888888889,8661.111111111111
16.sql,tpch,7221.666666666667,7013.444444444444,7063.222222222223,7184.888888888889,6969.111111111111
query22.sql,tpcds,3202.0,3238.4444444444443,3220.5555555555557,3372.0,3195.222222222222
query83.sql,tpcds,3100.777777777778,3203.3333333333335,3254.3333333333335,3287.6666666666665,2737.777777777778
query11.sql,tpcds,25601.88888888889,25311.88888888889,26244.222222222223,29523.666666666668,27668.0
query52.sql,tpcds,1237.3333333333333,1056.888888888889,1518.3333333333333,1114.0,993.6666666666666
query76.sql,tpcds,3030.777777777778,2831.8888888888887,3088.0,2937.0,2989.222222222222
query35.sql,tpcds,6981.666666666667,7170.888888888889,6706.777777777777,6420.0,6308.888888888889
query50.sql,tpcds,7184.111111111111,7078.0,10468.0,7613.888888888889,8650.222222222223
query94.sql,tpcds,4858.0,4706.777777777777,4856.333333333333,4969.888888888889,4784.222222222223
query43.sql,tpcds,1576.0,1512.111111111111,1596.888888888889,1634.2222222222222,1556.111111111111
query27.sql,tpcds,2488.1111111111113,2292.0,2677.777777777778,2517.222222222222,2490.0
query19.sql,tpcds,2544.1111111111113,2742.1111111111113,2621.1111111111113,2653.3333333333335,2492.5555555555557
query28.sql,tpcds,8904.111111111111,9306.777777777777,8865.222222222223,9522.333333333334,8257.555555555555
query47.sql,tpcds,16120.777777777777,15794.777777777777,16943.777777777777,16625.222222222223,17263.666666666668
query84.sql,tpcds,2455.222222222222,2204.6666666666665,2463.8888888888887,2329.5555555555557,2362.222222222222
query89.sql,tpcds,1882.888888888889,2119.4444444444443,2469.6666666666665,1978.7777777777778,1943.4444444444443
query97.sql,tpcds,5756.444444444444,6794.555555555556,5966.333333333333,5611.888888888889,5969.444444444444
query75.sql,tpcds,21788.11111111111,20866.88888888889,36057.77777777778,21797.666666666668,24931.0
query110.sql,tpcds,1723.111111111111,1636.3333333333333,1688.3333333333333,1680.5555555555557,1608.6666666666667
25.sql,tpch,24194.333333333332,23942.11111111111,23968.555555555555,24133.666666666668,23664.222222222223
15.sql,tpch,6441.0,5464.111111111111,5495.888888888889,6018.0,5482.777777777777
3.sql,tpch,9993.666666666666,8532.555555555555,11465.333333333334,8327.777777777777,8834.777777777777
24.sql,tpch,14377.111111111111,14373.888888888889,14342.111111111111,14426.111111111111,14630.0
query85.sql,tpcds,4395.111111111111,5494.888888888889,4806.444444444444,5630.0,4395.444444444444
query17.sql,tpcds,22759.222222222223,22569.11111111111,23943.0,21241.11111111111,21323.444444444445
query31.sql,tpcds,9222.888888888889,8499.0,8401.444444444445,8638.0,8618.444444444445
