query,dataset,run_number,listener_nowrite_time
22.sql,tpch,5,16.24
3.sql,tpch,5,20.05
4.sql,tpch,5,25.82
5.sql,tpch,5,34.08
6.sql,tpch,5,12.19
7.sql,tpch,5,30.40
8.sql,tpch,5,24.50
9.sql,tpch,5,30.99
query1.sql,tpcds,5,15.43
query10.sql,tpcds,5,15.98
query11.sql,tpcds,5,27.92
query12.sql,tpcds,5,14.54
query13.sql,tpcds,5,14.23
query14.sql,tpcds,5,8.39
query15.sql,tpcds,5,14.13
query16.sql,tpcds,5,16.01
query17.sql,tpcds,5,30.81
query18.sql,tpcds,5,15.29
query19.sql,tpcds,5,14.19
query2.sql,tpcds,5,14.27
query20.sql,tpcds,5,13.22
query21.sql,tpcds,5,13.69
query22.sql,tpcds,5,14.39
query23.sql,tpcds,5,8.04
query24.sql,tpcds,5,8.00
query25.sql,tpcds,5,30.15
query26.sql,tpcds,5,14.06
query27.sql,tpcds,5,14.70
query28.sql,tpcds,5,20.01
query29.sql,tpcds,5,30.18
query3.sql,tpcds,5,13.10
query30.sql,tpcds,5,8.62
query31.sql,tpcds,5,19.51
query32.sql,tpcds,5,13.85
query33.sql,tpcds,5,16.20
query34.sql,tpcds,5,14.21
query35.sql,tpcds,5,16.94
query36.sql,tpcds,5,14.90
query37.sql,tpcds,5,14.88
query38.sql,tpcds,5,20.62
query39.sql,tpcds,5,8.20
query4.sql,tpcds,5,37.70
query40.sql,tpcds,5,21.38
query41.sql,tpcds,5,10.02
query42.sql,tpcds,5,12.62
query43.sql,tpcds,5,12.87
query44.sql,tpcds,5,14.74
query45.sql,tpcds,5,13.87
query46.sql,tpcds,5,14.80
query47.sql,tpcds,5,18.30
query48.sql,tpcds,5,14.46
query49.sql,tpcds,5,21.02
query5.sql,tpcds,5,20.02
query50.sql,tpcds,5,23.34
query51.sql,tpcds,5,23.45
query52.sql,tpcds,5,13.08
query53.sql,tpcds,5,14.05
query54.sql,tpcds,5,18.66
query55.sql,tpcds,5,13.25
query56.sql,tpcds,5,15.98
query57.sql,tpcds,5,14.86
query58.sql,tpcds,5,16.53
query59.sql,tpcds,5,16.20
query6.sql,tpcds,5,24.48
query60.sql,tpcds,5,16.12
query61.sql,tpcds,5,10.71
query62.sql,tpcds,5,13.65
query63.sql,tpcds,5,14.02
query64.sql,tpcds,5,36.82
query65.sql,tpcds,5,18.71
query66.sql,tpcds,5,15.89
query67.sql,tpcds,5,8.18
query68.sql,tpcds,5,15.70
query69.sql,tpcds,5,12.30
query7.sql,tpcds,5,15.00
query70.sql,tpcds,5,15.38
query71.sql,tpcds,5,15.85
query72.sql,tpcds,5,36.41
query73.sql,tpcds,5,14.36
query74.sql,tpcds,5,27.14
query75.sql,tpcds,5,25.22
query76.sql,tpcds,5,15.04
query77.sql,tpcds,5,16.90
query78.sql,tpcds,5,36.56
query79.sql,tpcds,5,14.72
query8.sql,tpcds,5,14.62
query80.sql,tpcds,5,36.05
query81.sql,tpcds,5,15.12
query82.sql,tpcds,5,17.13
query83.sql,tpcds,5,14.30
query84.sql,tpcds,5,14.01
query85.sql,tpcds,5,18.48
query86.sql,tpcds,5,13.66
query87.sql,tpcds,5,20.51
query88.sql,tpcds,5,17.79
query89.sql,tpcds,5,14.54
query9.sql,tpcds,5,15.21
query90.sql,tpcds,5,12.89
query91.sql,tpcds,5,13.45
query92.sql,tpcds,5,14.25
query93.sql,tpcds,5,25.49
query94.sql,tpcds,5,19.23
query95.sql,tpcds,5,25.90
query96.sql,tpcds,5,11.65
query97.sql,tpcds,5,19.42
query98.sql,tpcds,5,14.97
query99.sql,tpcds,5,13.42
1.sql,tpch,6,30.24
10.sql,tpch,6,22.00
11.sql,tpch,6,12.34
12.sql,tpch,6,18.80
13.sql,tpch,6,18.47
14.sql,tpch,6,15.28
15.sql,tpch,6,17.36
16.sql,tpch,6,17.47
17.sql,tpch,6,34.77
18.sql,tpch,6,34.67
19.sql,tpch,6,15.26
2.sql,tpch,6,15.57
20.sql,tpch,6,16.90
21.sql,tpch,6,32.48
22.sql,tpch,6,14.46
3.sql,tpch,6,21.52
4.sql,tpch,6,23.27
5.sql,tpch,6,34.21
6.sql,tpch,6,11.03
7.sql,tpch,6,29.68
8.sql,tpch,6,24.47
9.sql,tpch,6,32.61
query1.sql,tpcds,6,14.95
query10.sql,tpcds,6,16.04
query11.sql,tpcds,6,28.71
query12.sql,tpcds,6,13.93
query13.sql,tpcds,6,14.20
query14.sql,tpcds,6,8.36
query15.sql,tpcds,6,14.68
query16.sql,tpcds,6,15.91
query17.sql,tpcds,6,29.83
query18.sql,tpcds,6,16.11
query19.sql,tpcds,6,14.30
query2.sql,tpcds,6,14.22
query20.sql,tpcds,6,13.79
query21.sql,tpcds,6,13.46
query22.sql,tpcds,6,14.83
query23.sql,tpcds,6,8.24
query24.sql,tpcds,6,8.17
query25.sql,tpcds,6,29.65
query26.sql,tpcds,6,14.49
query27.sql,tpcds,6,15.34
query28.sql,tpcds,6,19.47
query29.sql,tpcds,6,29.62
query3.sql,tpcds,6,12.79
query30.sql,tpcds,6,8.58
query31.sql,tpcds,6,19.15
query32.sql,tpcds,6,14.54
query33.sql,tpcds,6,15.64
query34.sql,tpcds,6,14.64
query35.sql,tpcds,6,17.25
query36.sql,tpcds,6,15.11
query37.sql,tpcds,6,15.43
query38.sql,tpcds,6,19.75
query39.sql,tpcds,6,8.15
query4.sql,tpcds,6,37.97
query40.sql,tpcds,6,19.98
query41.sql,tpcds,6,10.44
query42.sql,tpcds,6,12.78
query43.sql,tpcds,6,13.54
query44.sql,tpcds,6,15.24
query45.sql,tpcds,6,13.08
query46.sql,tpcds,6,14.97
query47.sql,tpcds,6,19.31
query48.sql,tpcds,6,14.01
query49.sql,tpcds,6,21.26
query5.sql,tpcds,6,19.55
query50.sql,tpcds,6,25.31
query51.sql,tpcds,6,23.97
query52.sql,tpcds,6,12.96
query53.sql,tpcds,6,14.61
query54.sql,tpcds,6,18.09
query55.sql,tpcds,6,14.10
query56.sql,tpcds,6,15.92
query57.sql,tpcds,6,15.09
query58.sql,tpcds,6,16.33
query59.sql,tpcds,6,16.38
query6.sql,tpcds,6,23.18
query60.sql,tpcds,6,16.11
query61.sql,tpcds,6,10.81
query62.sql,tpcds,6,14.15
query63.sql,tpcds,6,13.98
query64.sql,tpcds,6,38.13
query65.sql,tpcds,6,18.37
query66.sql,tpcds,6,16.30
query67.sql,tpcds,6,7.90
query68.sql,tpcds,6,15.21
query69.sql,tpcds,6,11.86
query7.sql,tpcds,6,16.10
query70.sql,tpcds,6,15.84
query71.sql,tpcds,6,14.49
query72.sql,tpcds,6,36.81
query73.sql,tpcds,6,14.03
query74.sql,tpcds,6,29.90
query75.sql,tpcds,6,25.67
query76.sql,tpcds,6,14.67
query77.sql,tpcds,6,17.45
query78.sql,tpcds,6,36.72
query79.sql,tpcds,6,14.28
query8.sql,tpcds,6,14.26
query80.sql,tpcds,6,35.40
query81.sql,tpcds,6,14.90
query82.sql,tpcds,6,16.17
query83.sql,tpcds,6,14.92
query84.sql,tpcds,6,14.20
query85.sql,tpcds,6,17.28
query86.sql,tpcds,6,13.50
query87.sql,tpcds,6,20.76
query88.sql,tpcds,6,17.26
query89.sql,tpcds,6,15.06
query9.sql,tpcds,6,14.97
query90.sql,tpcds,6,13.07
query91.sql,tpcds,6,12.66
query92.sql,tpcds,6,14.42
query93.sql,tpcds,6,28.67
query94.sql,tpcds,6,21.17
query95.sql,tpcds,6,25.86
query96.sql,tpcds,6,11.81
query97.sql,tpcds,6,21.10
query98.sql,tpcds,6,14.79
query99.sql,tpcds,6,13.52
1.sql,tpch,7,30.99
10.sql,tpch,7,20.57
11.sql,tpch,7,12.34
12.sql,tpch,7,19.52
13.sql,tpch,7,18.32
14.sql,tpch,7,14.16
15.sql,tpch,7,17.99
16.sql,tpch,7,17.76
17.sql,tpch,7,33.95
18.sql,tpch,7,32.81
19.sql,tpch,7,14.48
2.sql,tpch,7,15.93
20.sql,tpch,7,16.86
21.sql,tpch,7,32.81
22.sql,tpch,7,16.55
3.sql,tpch,7,19.38
4.sql,tpch,7,25.28
5.sql,tpch,7,31.05
6.sql,tpch,7,11.60
7.sql,tpch,7,28.98
8.sql,tpch,7,24.23
9.sql,tpch,7,31.49
query1.sql,tpcds,7,15.40
query10.sql,tpcds,7,15.85
query11.sql,tpcds,7,29.40
query12.sql,tpcds,7,14.39
query13.sql,tpcds,7,14.55
query14.sql,tpcds,7,8.24
query15.sql,tpcds,7,15.05
query16.sql,tpcds,7,15.77
query17.sql,tpcds,7,30.70
query18.sql,tpcds,7,16.21
query19.sql,tpcds,7,14.32
query2.sql,tpcds,7,14.67
query20.sql,tpcds,7,13.93
query21.sql,tpcds,7,14.26
