query,dataset,run_number,vanilla_time_sec
query8.sql,tpcds,4,14.81
query80.sql,tpcds,4,36.14
query81.sql,tpcds,4,14.92
query82.sql,tpcds,4,16.59
query83.sql,tpcds,4,14.14
query84.sql,tpcds,4,13.22
query85.sql,tpcds,4,17.58
query86.sql,tpcds,4,13.69
query87.sql,tpcds,4,20.49
query88.sql,tpcds,4,17.60
query89.sql,tpcds,4,14.51
query9.sql,tpcds,4,15.38
query90.sql,tpcds,4,13.01
query91.sql,tpcds,4,13.17
query92.sql,tpcds,4,13.88
query93.sql,tpcds,4,24.84
query94.sql,tpcds,4,19.51
query95.sql,tpcds,4,25.80
query96.sql,tpcds,4,12.09
query97.sql,tpcds,4,18.58
query98.sql,tpcds,4,14.39
query99.sql,tpcds,4,14.10
1.sql,tpch,5,30.69
10.sql,tpch,5,20.79
11.sql,tpch,5,12.04
12.sql,tpch,5,16.64
13.sql,tpch,5,19.97
14.sql,tpch,5,14.49
15.sql,tpch,5,17.40
16.sql,tpch,5,18.30
17.sql,tpch,5,32.62
18.sql,tpch,5,33.29
19.sql,tpch,5,15.45
2.sql,tpch,5,15.66
20.sql,tpch,5,16.65
21.sql,tpch,5,34.45
22.sql,tpch,5,16.33
3.sql,tpch,5,22.12
4.sql,tpch,5,26.07
5.sql,tpch,5,34.80
6.sql,tpch,5,12.03
7.sql,tpch,5,27.49
8.sql,tpch,5,25.35
9.sql,tpch,5,30.63
query1.sql,tpcds,5,15.55
query10.sql,tpcds,5,16.10
query11.sql,tpcds,5,28.98
query12.sql,tpcds,5,13.80
query13.sql,tpcds,5,14.28
query14.sql,tpcds,5,fail
query15.sql,tpcds,5,14.41
query16.sql,tpcds,5,15.89
query17.sql,tpcds,5,29.47
query18.sql,tpcds,5,15.32
query19.sql,tpcds,5,14.36
query2.sql,tpcds,5,14.77
query20.sql,tpcds,5,13.48
query21.sql,tpcds,5,13.85
query22.sql,tpcds,5,14.56
query23.sql,tpcds,5,fail
query24.sql,tpcds,5,fail
query25.sql,tpcds,5,28.22
query26.sql,tpcds,5,14.79
query27.sql,tpcds,5,15.37
query28.sql,tpcds,5,20.22
query29.sql,tpcds,5,29.48
query3.sql,tpcds,5,12.87
query30.sql,tpcds,5,fail
query31.sql,tpcds,5,19.80
query32.sql,tpcds,5,13.98
query33.sql,tpcds,5,17.04
query34.sql,tpcds,5,13.81
query35.sql,tpcds,5,17.28
query36.sql,tpcds,5,14.27
query37.sql,tpcds,5,15.65
query38.sql,tpcds,5,21.17
query39.sql,tpcds,5,fail
query4.sql,tpcds,5,37.96
query40.sql,tpcds,5,20.15
query41.sql,tpcds,5,10.61
query42.sql,tpcds,5,12.49
query43.sql,tpcds,5,13.44
query44.sql,tpcds,5,15.49
query45.sql,tpcds,5,14.00
query46.sql,tpcds,5,15.12
query47.sql,tpcds,5,18.81
query48.sql,tpcds,5,14.01
query49.sql,tpcds,5,20.37
query5.sql,tpcds,5,20.47
query50.sql,tpcds,5,23.28
query51.sql,tpcds,5,23.32
query52.sql,tpcds,5,12.93
query53.sql,tpcds,5,13.83
query54.sql,tpcds,5,17.80
query55.sql,tpcds,5,13.31
query56.sql,tpcds,5,16.39
query57.sql,tpcds,5,15.79
query58.sql,tpcds,5,16.58
query59.sql,tpcds,5,16.35
query6.sql,tpcds,5,20.11
query60.sql,tpcds,5,16.63
query61.sql,tpcds,5,10.96
query62.sql,tpcds,5,14.45
query63.sql,tpcds,5,13.99
query64.sql,tpcds,5,36.45
query65.sql,tpcds,5,18.38
query66.sql,tpcds,5,16.49
query67.sql,tpcds,5,fail
query68.sql,tpcds,5,14.02
query69.sql,tpcds,5,12.03
query7.sql,tpcds,5,15.16
query70.sql,tpcds,5,15.49
query71.sql,tpcds,5,15.41
query72.sql,tpcds,5,36.96
query73.sql,tpcds,5,13.96
query74.sql,tpcds,5,27.06
query75.sql,tpcds,5,25.19
query76.sql,tpcds,5,15.29
query77.sql,tpcds,5,17.76
query78.sql,tpcds,5,36.13
query79.sql,tpcds,5,14.67
query8.sql,tpcds,5,14.57
query80.sql,tpcds,5,38.42
