query,dataset,runtime
query68.sql,tpcds,8055
query55.sql,tpcds,1576
query41.sql,tpcds,1562
query61.sql,tpcds,1916
query47.sql,tpcds,19960
query56.sql,tpcds,3871
query51.sql,tpcds,22714
query96.sql,tpcds,1263
query3.sql,tpcds,1944
query84.sql,tpcds,2783
query45.sql,tpcds,2079
query60.sql,tpcds,3868
query89.sql,tpcds,2221
query8.sql,tpcds,2812
query2.sql,tpcds,4540
query97.sql,tpcds,6149
query75.sql,tpcds,21433
query80.sql,tpcds,20525
query111.sql,tpcds,1799
query15.sql,tpcds,2955
query106.sql,tpcds,1580
query79.sql,tpcds,2411
query40.sql,tpcds,5369
query57.sql,tpcds,9868
query110.sql,tpcds,1595
query78.sql,tpcds,44768
query62.sql,tpcds,1971
query127.sql,tpcds,2538
query105.sql,tpcds,829
query44.sql,tpcds,3044
query1.sql,tpcds,3354
query74.sql,tpcds,24608
query53.sql,tpcds,1883
query46.sql,tpcds,2159
query119.sql,tpcds,2399
query64.sql,tpcds,90607
query85.sql,tpcds,4033
query17.sql,tpcds,31991
query131.sql,tpcds,1991
query112.sql,tpcds,2733
query58.sql,tpcds,3164
query36.sql,tpcds,2158
query121.sql,tpcds,2301
query115.sql,tpcds,2322
query20.sql,tpcds,1943
query22.sql,tpcds,3301
query49.sql,tpcds,9639
query83.sql,tpcds,3459
query71.sql,tpcds,3628
query108.sql,tpcds,1488
query11.sql,tpcds,26885
query125.sql,tpcds,1763
query5.sql,tpcds,7018
query116.sql,tpcds,2629
query6.sql,tpcds,6655
query92.sql,tpcds,1530
query104.sql,tpcds,769
query88.sql,tpcds,6847
query65.sql,tpcds,8149
query52.sql,tpcds,907
query130.sql,tpcds,2092
query31.sql,tpcds,7869
query114.sql,tpcds,2025
query54.sql,tpcds,6312
query76.sql,tpcds,2971
query72.sql,tpcds,26249
query18.sql,tpcds,3871
query35.sql,tpcds,5905
query100.sql,tpcds,819
query95.sql,tpcds,11992
query90.sql,tpcds,1778
query7.sql,tpcds,4070
query37.sql,tpcds,1830
query21.sql,tpcds,2172
query93.sql,tpcds,9932
query129.sql,tpcds,1778
query109.sql,tpcds,1550
query126.sql,tpcds,1865
query29.sql,tpcds,25844
query50.sql,tpcds,11045
query87.sql,tpcds,10152
query10.sql,tpcds,5212
query118.sql,tpcds,2875
query82.sql,tpcds,3299
query117.sql,tpcds,2408
query120.sql,tpcds,2481
query98.sql,tpcds,2031
query122.sql,tpcds,2452
query33.sql,tpcds,4782
query94.sql,tpcds,5023
query9.sql,tpcds,5915
query101.sql,tpcds,699
query42.sql,tpcds,880
query70.sql,tpcds,2979
query73.sql,tpcds,2379
query16.sql,tpcds,7133
query26.sql,tpcds,2379
query32.sql,tpcds,1638
query123.sql,tpcds,2359
query43.sql,tpcds,1601
query99.sql,tpcds,2404
query34.sql,tpcds,2708
query86.sql,tpcds,1734
query25.sql,tpcds,14823
query66.sql,tpcds,4540
query128.sql,tpcds,1904
query102.sql,tpcds,1176
query59.sql,tpcds,3968
query107.sql,tpcds,1517
query12.sql,tpcds,1964
query69.sql,tpcds,4811
query124.sql,tpcds,2038
query113.sql,tpcds,2090
query27.sql,tpcds,2881
query38.sql,tpcds,9782
query77.sql,tpcds,26445
query103.sql,tpcds,1006
query19.sql,tpcds,2685
query81.sql,tpcds,3778
query13.sql,tpcds,3389
query48.sql,tpcds,2998
query4.sql,tpcds,44101
query63.sql,tpcds,1906
query91.sql,tpcds,1871
query28.sql,tpcds,9322
query68.sql,tpcds,5718
query55.sql,tpcds,1405
query41.sql,tpcds,573
query61.sql,tpcds,2356
query47.sql,tpcds,17525
query56.sql,tpcds,4698
query51.sql,tpcds,11262
query96.sql,tpcds,1068
query3.sql,tpcds,847
query84.sql,tpcds,2248
query45.sql,tpcds,2711
query60.sql,tpcds,3819
query89.sql,tpcds,2224
query8.sql,tpcds,2554
query2.sql,tpcds,3348
query97.sql,tpcds,5248
query75.sql,tpcds,24158
query80.sql,tpcds,36229
query111.sql,tpcds,1739
query15.sql,tpcds,3103
query106.sql,tpcds,850
query79.sql,tpcds,1918
query40.sql,tpcds,6371
query57.sql,tpcds,9811
query110.sql,tpcds,2083
query78.sql,tpcds,26314
query62.sql,tpcds,2442
query127.sql,tpcds,2325
query105.sql,tpcds,1063
query44.sql,tpcds,3818
query1.sql,tpcds,4572
query74.sql,tpcds,25481
query53.sql,tpcds,1503
query46.sql,tpcds,3986
query119.sql,tpcds,3419
query64.sql,tpcds,130838
query85.sql,tpcds,4253
query17.sql,tpcds,31397
query131.sql,tpcds,2744
query112.sql,tpcds,2143
query58.sql,tpcds,4822
query36.sql,tpcds,2370
query121.sql,tpcds,2036
query115.sql,tpcds,2472
query20.sql,tpcds,1409
query22.sql,tpcds,3101
query49.sql,tpcds,7699
query83.sql,tpcds,2947
query71.sql,tpcds,4581
query108.sql,tpcds,1864
query11.sql,tpcds,26060
query125.sql,tpcds,1619
query5.sql,tpcds,7176
query116.sql,tpcds,2054
query6.sql,tpcds,5940
query92.sql,tpcds,1974
query104.sql,tpcds,1614
query88.sql,tpcds,5849
query65.sql,tpcds,5012
query52.sql,tpcds,974
query130.sql,tpcds,1769
query31.sql,tpcds,8527
query114.sql,tpcds,1953
query54.sql,tpcds,5857
query76.sql,tpcds,3063
query72.sql,tpcds,26553
query18.sql,tpcds,4255
query35.sql,tpcds,6604
query100.sql,tpcds,808
query95.sql,tpcds,11831
query90.sql,tpcds,2314
query7.sql,tpcds,3897
query37.sql,tpcds,1795
query21.sql,tpcds,1925
query93.sql,tpcds,10265
query129.sql,tpcds,1527
query109.sql,tpcds,920
query126.sql,tpcds,1768
query29.sql,tpcds,13899
query50.sql,tpcds,6121
query87.sql,tpcds,10398
query10.sql,tpcds,4426
query118.sql,tpcds,2376
query82.sql,tpcds,3497
query117.sql,tpcds,2328
query120.sql,tpcds,1688
query98.sql,tpcds,1602
query122.sql,tpcds,1831
query33.sql,tpcds,3298
query94.sql,tpcds,5034
query9.sql,tpcds,5708
query101.sql,tpcds,1382
query42.sql,tpcds,1100
query70.sql,tpcds,2932
query73.sql,tpcds,2246
query16.sql,tpcds,7445
query26.sql,tpcds,3252
query32.sql,tpcds,1602
query123.sql,tpcds,2527
query43.sql,tpcds,1522
query99.sql,tpcds,2190
query34.sql,tpcds,2910
query86.sql,tpcds,1552
query25.sql,tpcds,14001
query66.sql,tpcds,5373
query128.sql,tpcds,1869
query102.sql,tpcds,1283
query59.sql,tpcds,3713
query107.sql,tpcds,1274
query12.sql,tpcds,1811
query69.sql,tpcds,3659
query124.sql,tpcds,1460
query113.sql,tpcds,2115
query27.sql,tpcds,2487
query38.sql,tpcds,9512
query77.sql,tpcds,27248
query103.sql,tpcds,874
query19.sql,tpcds,3846
query81.sql,tpcds,3516
query13.sql,tpcds,1975
query48.sql,tpcds,2932
query4.sql,tpcds,44653
