query,dataset,register_mean,bare_mean,rowgroup_mean,full_mean,vanilla_mean,nowrite_mean
query95.sql,tpcds,11908.444444444445,11926.333333333334,12223.222222222223,11737.555555555555,11644.666666666666,11201.875
query109.sql,tpcds,1674.7777777777778,1583.2222222222222,1593.3333333333333,1578.4444444444443,1569.888888888889,1584.5
query118.sql,tpcds,2339.0,2552.777777777778,2555.0,2488.6666666666665,2599.6666666666665,2569.8571428571427
query34.sql,tpcds,2421.5555555555557,2598.0,2732.6666666666665,2620.777777777778,2453.777777777778,2999.285714285714
query66.sql,tpcds,5095.111111111111,4749.777777777777,4970.111111111111,4748.777777777777,5810.777777777777,4672.142857142857
query128.sql,tpcds,1549.0,1634.7777777777778,1744.4444444444443,1706.4444444444443,1529.2222222222222,1583.5714285714287
query103.sql,tpcds,1160.6666666666667,1058.3333333333333,1095.4444444444443,1101.111111111111,1035.4444444444443,1078.857142857143
query41.sql,tpcds,658.6666666666666,707.6666666666666,707.8888888888889,600.3333333333334,745.8888888888889,776.4285714285714
query8.sql,tpcds,2366.8888888888887,2395.8888888888887,2748.5555555555557,2275.777777777778,2505.0,2470.1428571428573
query80.sql,tpcds,24551.333333333332,25142.666666666668,22796.777777777777,26292.333333333332,25298.444444444445,20954.714285714286
query111.sql,tpcds,1733.6666666666667,1686.2222222222222,1810.111111111111,1887.4444444444443,2054.222222222222,1741.4285714285713
query106.sql,tpcds,1156.5555555555557,1116.7777777777778,1290.0,1190.111111111111,1378.0,1029.0
query79.sql,tpcds,2391.1111111111113,2328.1111111111113,2444.3333333333335,2449.0,2650.222222222222,2244.714285714286
query127.sql,tpcds,1820.888888888889,2046.2222222222222,1908.2222222222222,1866.6666666666667,2352.4444444444443,1726.0
query105.sql,tpcds,876.6666666666666,1078.6666666666667,1204.5555555555557,2258.777777777778,1147.4444444444443,1092.2857142857142
23.sql,tpch,6950.666666666667,6795.888888888889,6956.444444444444,6885.666666666667,6812.888888888889,6874.777777777777
34.sql,tpch,17867.444444444445,21502.666666666668,15315.222222222223,19040.555555555555,19998.11111111111,21582.444444444445
query93.sql,tpcds,10746.888888888889,10297.777777777777,10783.222222222223,10079.555555555555,10243.0,10171.0
38.sql,tpch,3522.777777777778,3952.3333333333335,3469.6666666666665,3455.222222222222,3448.3333333333335,3665.777777777778
18.sql,tpch,26573.0,26126.444444444445,26002.333333333332,25687.666666666668,28081.444444444445,26176.222222222223
9.sql,tpch,96309.22222222222,73530.66666666667,99188.88888888889,57544.22222222222,84117.11111111111,77203.55555555556
33.sql,tpch,9727.777777777777,9496.888888888889,10934.888888888889,10352.444444444445,10702.111111111111,9182.333333333334
20.sql,tpch,9124.666666666666,8455.333333333334,8440.222222222223,8596.0,8492.444444444445,9842.222222222223
10.sql,tpch,10947.333333333334,9694.0,9402.666666666666,9991.888888888889,10981.777777777777,10318.888888888889
8.sql,tpch,33636.555555555555,40830.444444444445,54952.555555555555,31813.444444444445,45584.333333333336,35389.77777777778
query49.sql,tpcds,8270.666666666666,8291.666666666666,8599.888888888889,9055.666666666666,14903.222222222223,8608.75
query108.sql,tpcds,1198.3333333333333,1427.888888888889,1441.6666666666667,1631.7777777777778,1543.4444444444443,1301.75
query125.sql,tpcds,1654.4444444444443,1694.5555555555557,1898.6666666666667,1997.6666666666667,1800.2222222222222,2529.5
query18.sql,tpcds,3648.777777777778,3674.4444444444443,3712.777777777778,3941.5555555555557,4223.555555555556,3581.375
query21.sql,tpcds,1899.3333333333333,2017.4444444444443,2112.8888888888887,2053.5555555555557,1847.3333333333333,1991.0
query129.sql,tpcds,1742.5555555555557,1704.111111111111,1798.0,1779.5555555555557,1824.7777777777778,1600.75
query29.sql,tpcds,17895.11111111111,18236.666666666668,15438.777777777777,15682.777777777777,15086.333333333334,17472.875
query10.sql,tpcds,4803.888888888889,4915.777777777777,4946.777777777777,4717.111111111111,4805.666666666667,4835.5
query9.sql,tpcds,6195.888888888889,5927.888888888889,6249.222222222223,6576.111111111111,5894.0,5684.571428571428
query42.sql,tpcds,1092.7777777777778,852.0,1174.7777777777778,991.3333333333334,967.3333333333334,984.1428571428571
query70.sql,tpcds,2755.4444444444443,2875.4444444444443,2895.0,2769.4444444444443,3018.1111111111113,2848.714285714286
query69.sql,tpcds,3625.6666666666665,3761.8888888888887,3608.777777777778,3662.3333333333335,3558.4444444444443,3603.714285714286
query113.sql,tpcds,1890.888888888889,1969.7777777777778,1903.6666666666667,1994.7777777777778,1915.3333333333333,1849.857142857143
query38.sql,tpcds,15934.777777777777,9726.777777777777,10435.666666666666,10271.777777777777,11197.111111111111,9998.714285714286
query77.sql,tpcds,27198.444444444445,27821.777777777777,27726.11111111111,27480.11111111111,27060.777777777777,26952.14285714286
query81.sql,tpcds,4085.3333333333335,3910.3333333333335,4890.222222222223,3933.3333333333335,3980.4444444444443,3883.0
query51.sql,tpcds,12083.555555555555,20485.777777777777,14878.0,12452.555555555555,12088.777777777777,13644.0
query3.sql,tpcds,1064.3333333333333,1081.0,1346.3333333333333,1099.888888888889,946.1111111111111,1092.857142857143
query53.sql,tpcds,1886.4444444444443,1667.111111111111,2084.222222222222,2044.7777777777778,1748.111111111111,1896.4285714285713
37.sql,tpch,2284.222222222222,2307.4444444444443,2569.1111111111113,2257.6666666666665,3875.8888888888887,2345.4444444444443
6.sql,tpch,1641.7777777777778,1656.2222222222222,1808.0,1671.7777777777778,1623.888888888889,1773.111111111111
28.sql,tpch,8373.222222222223,9281.333333333334,8506.222222222223,8566.555555555555,8758.444444444445,8422.666666666666
16.sql,tpch,6872.0,7403.666666666667,6654.222222222223,6865.777777777777,7240.666666666667,7068.888888888889
query22.sql,tpcds,6696.222222222223,3331.8888888888887,3553.5555555555557,3412.0,3711.1111111111113,3332.625
query83.sql,tpcds,3101.777777777778,3001.6666666666665,3071.4444444444443,3324.222222222222,3590.4444444444443,3219.125
query11.sql,tpcds,26027.222222222223,25813.0,26951.444444444445,26358.666666666668,26347.333333333332,28380.0
query52.sql,tpcds,1071.6666666666667,946.0,1223.6666666666667,1208.6666666666667,1158.7777777777778,1073.375
query76.sql,tpcds,2925.1111111111113,3081.8888888888887,3112.1111111111113,3173.777777777778,3081.3333333333335,2968.75
query35.sql,tpcds,6793.777777777777,6543.555555555556,6516.444444444444,6233.777777777777,6397.111111111111,6202.625
query50.sql,tpcds,9320.111111111111,8483.666666666666,10228.888888888889,9932.111111111111,8057.0,9908.25
query94.sql,tpcds,5242.333333333333,4973.333333333333,5086.333333333333,4888.222222222223,4914.777777777777,5174.285714285715
query43.sql,tpcds,1487.7777777777778,1612.3333333333333,1777.5555555555557,1631.7777777777778,1591.4444444444443,1552.0
query27.sql,tpcds,2782.222222222222,2717.777777777778,2781.1111111111113,2713.3333333333335,2526.5555555555557,2612.285714285714
query19.sql,tpcds,2798.5555555555557,2920.3333333333335,2788.6666666666665,2616.777777777778,2902.4444444444443,2667.1428571428573
query28.sql,tpcds,9484.555555555555,8561.888888888889,9290.555555555555,8970.555555555555,9856.0,8389.57142857143
query47.sql,tpcds,17227.555555555555,18189.11111111111,16954.0,18515.333333333332,16933.444444444445,17144.285714285714
query84.sql,tpcds,2292.3333333333335,2510.3333333333335,2464.6666666666665,2194.777777777778,2365.0,2617.285714285714
query89.sql,tpcds,2128.4444444444443,2114.0,2389.3333333333335,2426.3333333333335,2044.6666666666667,2038.2857142857142
query97.sql,tpcds,5747.222222222223,5896.111111111111,5743.666666666667,5710.888888888889,5933.222222222223,5811.0
query75.sql,tpcds,23044.333333333332,23660.444444444445,21670.666666666668,28951.777777777777,21126.555555555555,21087.85714285714
query110.sql,tpcds,1646.2222222222222,1676.888888888889,1724.2222222222222,1827.6666666666667,1679.4444444444443,1674.5714285714287
11.sql,tpch,3161.222222222222,2432.3333333333335,3064.3333333333335,2483.4444444444443,3234.1111111111113,2231.8888888888887
2.sql,tpch,6901.0,7119.777777777777,6807.222222222223,6927.444444444444,7516.666666666667,7319.444444444444
query112.sql,tpcds,1808.0,2058.5555555555557,1763.888888888889,2354.777777777778,2284.8888888888887,1871.375
query36.sql,tpcds,2026.888888888889,2345.4444444444443,2287.4444444444443,2398.4444444444443,2912.3333333333335,2225.5
query101.sql,tpcds,1076.3333333333333,1003.1111111111111,953.1111111111111,844.1111111111111,1059.4444444444443,995.1428571428571
query16.sql,tpcds,7971.777777777777,7191.0,7447.666666666667,7020.222222222223,7334.888888888889,6923.428571428572
query32.sql,tpcds,1839.7777777777778,1581.4444444444443,1769.2222222222222,1634.5555555555557,1465.4444444444443,1469.2857142857142
query123.sql,tpcds,2226.0,2241.8888888888887,2392.6666666666665,2251.6666666666665,2199.8888888888887,2148.8571428571427
query86.sql,tpcds,1566.7777777777778,1606.6666666666667,1701.0,1769.3333333333333,1645.0,1556.2857142857142
