query,dataset,run_number,listener_time_sec
query60.sql,tpcds,4,17.62
query61.sql,tpcds,4,13.45
query62.sql,tpcds,4,14.31
query63.sql,tpcds,4,14.13
query64.sql,tpcds,4,51.85
query65.sql,tpcds,4,18.96
query66.sql,tpcds,4,17.13
query67.sql,tpcds,4,8.29
query68.sql,tpcds,4,15.41
query69.sql,tpcds,4,15.97
query7.sql,tpcds,4,16.02
query70.sql,tpcds,4,15.82
query71.sql,tpcds,4,15.73
query72.sql,tpcds,4,35.22
query73.sql,tpcds,4,14.54
query74.sql,tpcds,4,41.92
query75.sql,tpcds,4,41.60
query76.sql,tpcds,4,15.98
query77.sql,tpcds,4,35.23
query78.sql,tpcds,4,38.16
query79.sql,tpcds,4,15.90
query8.sql,tpcds,4,14.64
query80.sql,tpcds,4,34.24
query81.sql,tpcds,4,16.53
query82.sql,tpcds,4,14.92
query83.sql,tpcds,4,15.15
query84.sql,tpcds,4,15.08
query85.sql,tpcds,4,18.25
query86.sql,tpcds,4,14.79
query87.sql,tpcds,4,25.96
query88.sql,tpcds,4,17.67
query89.sql,tpcds,4,14.82
query9.sql,tpcds,4,18.57
query90.sql,tpcds,4,13.32
query91.sql,tpcds,4,13.35
query92.sql,tpcds,4,15.35
query93.sql,tpcds,4,23.64
query94.sql,tpcds,4,19.02
query95.sql,tpcds,4,26.07
query96.sql,tpcds,4,11.65
query97.sql,tpcds,4,18.90
query98.sql,tpcds,4,15.37
query99.sql,tpcds,4,14.01
1.sql,tpch,5,31.92
10.sql,tpch,5,23.37
11.sql,tpch,5,13.34
12.sql,tpch,5,16.56
13.sql,tpch,5,17.46
14.sql,tpch,5,14.61
15.sql,tpch,5,18.26
16.sql,tpch,5,21.39
17.sql,tpch,5,36.59
18.sql,tpch,5,32.93
19.sql,tpch,5,15.24
2.sql,tpch,5,21.11
20.sql,tpch,5,24.22
21.sql,tpch,5,31.96
22.sql,tpch,5,14.75
3.sql,tpch,5,21.12
4.sql,tpch,5,17.18
5.sql,tpch,5,26.46
6.sql,tpch,5,11.92
7.sql,tpch,5,24.66
8.sql,tpch,5,28.55
9.sql,tpch,5,33.83
query1.sql,tpcds,5,17.70
query10.sql,tpcds,5,19.28
query11.sql,tpcds,5,42.00
query12.sql,tpcds,5,14.98
query13.sql,tpcds,5,14.91
query14.sql,tpcds,5,8.83
query15.sql,tpcds,5,15.30
query16.sql,tpcds,5,21.26
query17.sql,tpcds,5,27.59
query18.sql,tpcds,5,15.57
query19.sql,tpcds,5,15.07
query2.sql,tpcds,5,16.80
query20.sql,tpcds,5,14.52
query21.sql,tpcds,5,14.64
query22.sql,tpcds,5,14.62
query23.sql,tpcds,5,8.43
query24.sql,tpcds,5,8.62
query25.sql,tpcds,5,27.08
query26.sql,tpcds,5,14.37
query27.sql,tpcds,5,15.25
query28.sql,tpcds,5,22.04
query29.sql,tpcds,5,25.90
query3.sql,tpcds,5,12.64
query30.sql,tpcds,5,8.58
query31.sql,tpcds,5,23.71
query32.sql,tpcds,5,14.34
query33.sql,tpcds,5,18.14
query34.sql,tpcds,5,14.83
query35.sql,tpcds,5,21.77
query36.sql,tpcds,5,15.14
query37.sql,tpcds,5,14.38
query38.sql,tpcds,5,25.24
query39.sql,tpcds,5,8.71
query4.sql,tpcds,5,61.48
query40.sql,tpcds,5,19.42
query41.sql,tpcds,5,12.74
query42.sql,tpcds,5,13.18
query43.sql,tpcds,5,13.68
query44.sql,tpcds,5,17.09
query45.sql,tpcds,5,14.25
query46.sql,tpcds,5,15.86
query47.sql,tpcds,5,33.94
query48.sql,tpcds,5,15.37
query49.sql,tpcds,5,22.01
query5.sql,tpcds,5,20.12
query50.sql,tpcds,5,20.04
query51.sql,tpcds,5,30.68
query52.sql,tpcds,5,13.42
query53.sql,tpcds,5,14.80
query54.sql,tpcds,5,20.13
query55.sql,tpcds,5,14.95
query56.sql,tpcds,5,17.47
query57.sql,tpcds,5,23.31
query58.sql,tpcds,5,17.57
query59.sql,tpcds,5,18.10
query6.sql,tpcds,5,19.77
query60.sql,tpcds,5,17.56
query61.sql,tpcds,5,14.14
query62.sql,tpcds,5,14.45
query63.sql,tpcds,5,15.16
query64.sql,tpcds,5,51.22
query65.sql,tpcds,5,19.20
query66.sql,tpcds,5,17.81
query67.sql,tpcds,5,8.39
query68.sql,tpcds,5,16.09
query69.sql,tpcds,5,16.40
query7.sql,tpcds,5,15.44
query70.sql,tpcds,5,16.70
query71.sql,tpcds,5,15.78
query72.sql,tpcds,5,35.66
query73.sql,tpcds,5,15.20
query74.sql,tpcds,5,41.97
query75.sql,tpcds,5,41.29
query76.sql,tpcds,5,15.43
query77.sql,tpcds,5,36.64
query78.sql,tpcds,5,39.53
query79.sql,tpcds,5,15.30
query8.sql,tpcds,5,14.75
query80.sql,tpcds,5,33.33
query81.sql,tpcds,5,16.41
query82.sql,tpcds,5,15.20
query83.sql,tpcds,5,15.49
query84.sql,tpcds,5,14.68
query85.sql,tpcds,5,18.90
query86.sql,tpcds,5,14.42
query87.sql,tpcds,5,26.10
query88.sql,tpcds,5,18.35
query89.sql,tpcds,5,15.76
query9.sql,tpcds,5,18.57
query90.sql,tpcds,5,13.18
query91.sql,tpcds,5,13.53
query92.sql,tpcds,5,14.94
query93.sql,tpcds,5,24.29
query94.sql,tpcds,5,19.30
query95.sql,tpcds,5,25.76
query96.sql,tpcds,5,11.93
query97.sql,tpcds,5,19.82
query98.sql,tpcds,5,15.10
query99.sql,tpcds,5,14.80
1.sql,tpch,6,32.62
10.sql,tpch,6,23.49
11.sql,tpch,6,13.45
12.sql,tpch,6,18.32
13.sql,tpch,6,19.01
14.sql,tpch,6,14.76
15.sql,tpch,6,18.20
16.sql,tpch,6,19.80
17.sql,tpch,6,35.08
18.sql,tpch,6,32.91
19.sql,tpch,6,15.70
2.sql,tpch,6,20.73
20.sql,tpch,6,24.25
21.sql,tpch,6,32.26
22.sql,tpch,6,15.22
3.sql,tpch,6,22.15
4.sql,tpch,6,16.90
5.sql,tpch,6,25.29
6.sql,tpch,6,12.01
7.sql,tpch,6,24.56
8.sql,tpch,6,29.71
9.sql,tpch,6,33.72
query1.sql,tpcds,6,17.44
query10.sql,tpcds,6,19.08
query11.sql,tpcds,6,42.67
query12.sql,tpcds,6,14.61
query13.sql,tpcds,6,15.13
query14.sql,tpcds,6,8.43
query15.sql,tpcds,6,14.93
query16.sql,tpcds,6,22.46
query17.sql,tpcds,6,27.98
query18.sql,tpcds,6,16.52
query19.sql,tpcds,6,14.48
query2.sql,tpcds,6,16.46
query20.sql,tpcds,6,14.34
query21.sql,tpcds,6,14.23
query22.sql,tpcds,6,14.61
query23.sql,tpcds,6,8.43
query24.sql,tpcds,6,8.75
query25.sql,tpcds,6,26.72
query26.sql,tpcds,6,15.31
query27.sql,tpcds,6,15.73
query28.sql,tpcds,6,23.09
query29.sql,tpcds,6,27.04
query3.sql,tpcds,6,13.16
query30.sql,tpcds,6,8.71
query31.sql,tpcds,6,21.95
query32.sql,tpcds,6,14.58
query33.sql,tpcds,6,17.30
query34.sql,tpcds,6,15.67
query35.sql,tpcds,6,21.72
query36.sql,tpcds,6,15.26
query37.sql,tpcds,6,15.20
query38.sql,tpcds,6,25.32
query39.sql,tpcds,6,8.42
query4.sql,tpcds,6,60.39
query40.sql,tpcds,6,19.54
query41.sql,tpcds,6,11.87
query42.sql,tpcds,6,13.17
query43.sql,tpcds,6,13.46
query44.sql,tpcds,6,16.99
query45.sql,tpcds,6,14.51
query46.sql,tpcds,6,15.47
query47.sql,tpcds,6,32.65
query48.sql,tpcds,6,14.40
query49.sql,tpcds,6,22.10
query5.sql,tpcds,6,20.24
query50.sql,tpcds,6,20.72
query51.sql,tpcds,6,30.62
query52.sql,tpcds,6,13.60
query53.sql,tpcds,6,14.16
query54.sql,tpcds,6,20.42
query55.sql,tpcds,6,13.96
query56.sql,tpcds,6,17.36
query57.sql,tpcds,6,23.93
query58.sql,tpcds,6,17.07
query59.sql,tpcds,6,17.41
query6.sql,tpcds,6,19.41
query60.sql,tpcds,6,17.67
query61.sql,tpcds,6,14.23
query62.sql,tpcds,6,13.94
query63.sql,tpcds,6,14.15
query64.sql,tpcds,6,50.32
query65.sql,tpcds,6,19.76
query66.sql,tpcds,6,17.26
query67.sql,tpcds,6,7.94
query68.sql,tpcds,6,15.27
query69.sql,tpcds,6,16.70
query7.sql,tpcds,6,16.26
query70.sql,tpcds,6,16.25
query71.sql,tpcds,6,15.90
query72.sql,tpcds,6,34.79
query73.sql,tpcds,6,14.75
query74.sql,tpcds,6,41.37
query75.sql,tpcds,6,41.20
query76.sql,tpcds,6,15.73
query77.sql,tpcds,6,35.20
query78.sql,tpcds,6,37.03
query79.sql,tpcds,6,15.12
query8.sql,tpcds,6,14.80
query80.sql,tpcds,6,33.59
query81.sql,tpcds,6,16.83
query82.sql,tpcds,6,14.92
query83.sql,tpcds,6,15.12
query84.sql,tpcds,6,14.64
query85.sql,tpcds,6,18.35
query86.sql,tpcds,6,13.94
query87.sql,tpcds,6,26.25
query88.sql,tpcds,6,17.97
query89.sql,tpcds,6,15.74
query9.sql,tpcds,6,19.13
query90.sql,tpcds,6,13.29
query91.sql,tpcds,6,12.85
query92.sql,tpcds,6,14.42
query93.sql,tpcds,6,23.70
query94.sql,tpcds,6,18.96
query95.sql,tpcds,6,26.16
query96.sql,tpcds,6,12.00
query97.sql,tpcds,6,19.74
query98.sql,tpcds,6,15.25
query99.sql,tpcds,6,13.89
1.sql,tpch,7,33.39
10.sql,tpch,7,22.98
11.sql,tpch,7,13.23
12.sql,tpch,7,18.45
13.sql,tpch,7,18.95
14.sql,tpch,7,14.63
15.sql,tpch,7,17.30
16.sql,tpch,7,20.08
17.sql,tpch,7,35.29
18.sql,tpch,7,34.09
19.sql,tpch,7,15.51
2.sql,tpch,7,20.83
20.sql,tpch,7,25.36
21.sql,tpch,7,31.66
22.sql,tpch,7,14.63
3.sql,tpch,7,22.31
4.sql,tpch,7,17.05
5.sql,tpch,7,26.90
6.sql,tpch,7,11.47
7.sql,tpch,7,25.22
8.sql,tpch,7,28.28
9.sql,tpch,7,32.75
query1.sql,tpcds,7,16.89
query10.sql,tpcds,7,18.97
query11.sql,tpcds,7,42.86
query12.sql,tpcds,7,15.01
query13.sql,tpcds,7,14.25
query14.sql,tpcds,7,8.40
query15.sql,tpcds,7,15.19
query16.sql,tpcds,7,21.79
query17.sql,tpcds,7,27.82
query18.sql,tpcds,7,16.48
query19.sql,tpcds,7,15.58
query2.sql,tpcds,7,17.04
query20.sql,tpcds,7,14.38
query21.sql,tpcds,7,13.68
query22.sql,tpcds,7,14.62
query23.sql,tpcds,7,8.82
query24.sql,tpcds,7,8.54
query25.sql,tpcds,7,26.49
query26.sql,tpcds,7,14.84
query27.sql,tpcds,7,15.60
query28.sql,tpcds,7,22.36
query29.sql,tpcds,7,28.27
query3.sql,tpcds,7,13.47
query30.sql,tpcds,7,8.62
query31.sql,tpcds,7,23.27
query32.sql,tpcds,7,14.39
query33.sql,tpcds,7,17.86
query34.sql,tpcds,7,14.55
query35.sql,tpcds,7,21.66
query36.sql,tpcds,7,15.42
query37.sql,tpcds,7,14.43
query38.sql,tpcds,7,25.81
query39.sql,tpcds,7,8.56
query4.sql,tpcds,7,63.05
query40.sql,tpcds,7,19.37
query41.sql,tpcds,7,11.63
query42.sql,tpcds,7,13.22
query43.sql,tpcds,7,13.30
query44.sql,tpcds,7,17.65
query45.sql,tpcds,7,14.60
query46.sql,tpcds,7,14.44
query47.sql,tpcds,7,33.02
query48.sql,tpcds,7,14.91
query49.sql,tpcds,7,22.48
query5.sql,tpcds,7,21.37
query50.sql,tpcds,7,19.88
query51.sql,tpcds,7,29.69
query52.sql,tpcds,7,14.00
query53.sql,tpcds,7,14.58
query54.sql,tpcds,7,20.50
query55.sql,tpcds,7,13.94
query56.sql,tpcds,7,19.39
query57.sql,tpcds,7,24.26
query58.sql,tpcds,7,16.90
query59.sql,tpcds,7,18.14
query6.sql,tpcds,7,19.87
query60.sql,tpcds,7,19.05
query61.sql,tpcds,7,14.18
query62.sql,tpcds,7,14.26
query63.sql,tpcds,7,14.93
query64.sql,tpcds,7,49.90
query65.sql,tpcds,7,19.84
query66.sql,tpcds,7,16.23
query67.sql,tpcds,7,8.32
query68.sql,tpcds,7,15.27
query69.sql,tpcds,7,16.72
