query,dataset,run_number,listener_nowrite_time
17.sql,tpch,5,34.77
18.sql,tpch,5,33.51
19.sql,tpch,5,14.70
2.sql,tpch,5,21.07
20.sql,tpch,5,22.82
21.sql,tpch,5,31.74
22.sql,tpch,5,14.47
3.sql,tpch,5,21.59
4.sql,tpch,5,17.70
5.sql,tpch,5,25.20
6.sql,tpch,5,12.35
7.sql,tpch,5,23.62
8.sql,tpch,5,28.70
9.sql,tpch,5,34.37
query1.sql,tpcds,5,17.18
query10.sql,tpcds,5,18.17
query11.sql,tpcds,5,42.52
query12.sql,tpcds,5,14.53
query13.sql,tpcds,5,14.30
query14.sql,tpcds,5,8.41
query15.sql,tpcds,5,14.15
query16.sql,tpcds,5,21.31
query17.sql,tpcds,5,27.80
query18.sql,tpcds,5,15.75
query19.sql,tpcds,5,14.93
query2.sql,tpcds,5,16.43
query20.sql,tpcds,5,14.81
query21.sql,tpcds,5,13.92
query22.sql,tpcds,5,14.73
query23.sql,tpcds,5,8.84
query24.sql,tpcds,5,8.50
query25.sql,tpcds,5,28.38
query26.sql,tpcds,5,14.02
query27.sql,tpcds,5,15.52
query28.sql,tpcds,5,22.81
query29.sql,tpcds,5,26.12
query3.sql,tpcds,5,13.02
query30.sql,tpcds,5,8.71
query31.sql,tpcds,5,23.49
query32.sql,tpcds,5,13.84
query33.sql,tpcds,5,16.94
query34.sql,tpcds,5,15.31
query35.sql,tpcds,5,21.28
query36.sql,tpcds,5,14.52
query37.sql,tpcds,5,14.57
query38.sql,tpcds,5,25.54
query39.sql,tpcds,5,8.32
query4.sql,tpcds,5,60.62
query40.sql,tpcds,5,18.44
query41.sql,tpcds,5,11.37
query42.sql,tpcds,5,12.76
query43.sql,tpcds,5,13.20
query44.sql,tpcds,5,17.03
query45.sql,tpcds,5,13.71
query46.sql,tpcds,5,14.81
query47.sql,tpcds,5,32.96
query48.sql,tpcds,5,16.36
query49.sql,tpcds,5,22.36
query5.sql,tpcds,5,20.69
query50.sql,tpcds,5,20.05
query51.sql,tpcds,5,29.42
query52.sql,tpcds,5,13.08
query53.sql,tpcds,5,14.32
query54.sql,tpcds,5,19.21
query55.sql,tpcds,5,13.59
query56.sql,tpcds,5,16.62
query57.sql,tpcds,5,23.80
query58.sql,tpcds,5,16.77
query59.sql,tpcds,5,17.50
query6.sql,tpcds,5,19.17
query60.sql,tpcds,5,16.60
query61.sql,tpcds,5,13.61
query62.sql,tpcds,5,14.33
query63.sql,tpcds,5,14.81
query64.sql,tpcds,5,50.18
query65.sql,tpcds,5,19.17
query66.sql,tpcds,5,16.50
query67.sql,tpcds,5,8.36
query68.sql,tpcds,5,15.91
query69.sql,tpcds,5,15.41
query7.sql,tpcds,5,15.76
