query,dataset,run_number,listener_register_time
query70.sql,tpcds,3,16.06
query71.sql,tpcds,3,15.43
query72.sql,tpcds,3,34.49
query73.sql,tpcds,3,13.88
query74.sql,tpcds,3,42.03
query75.sql,tpcds,3,41.68
query76.sql,tpcds,3,15.34
query77.sql,tpcds,3,36.01
query78.sql,tpcds,3,38.64
query79.sql,tpcds,3,15.07
query8.sql,tpcds,3,15.13
query80.sql,tpcds,3,33.90
query81.sql,tpcds,3,17.19
query82.sql,tpcds,3,15.18
query83.sql,tpcds,3,15.66
query84.sql,tpcds,3,15.35
query85.sql,tpcds,3,18.69
query86.sql,tpcds,3,14.31
query87.sql,tpcds,3,25.16
query88.sql,tpcds,3,18.33
query89.sql,tpcds,3,15.35
query9.sql,tpcds,3,17.90
query90.sql,tpcds,3,12.66
query91.sql,tpcds,3,12.53
query92.sql,tpcds,3,14.33
query93.sql,tpcds,3,23.57
query94.sql,tpcds,3,19.00
query95.sql,tpcds,3,26.66
query96.sql,tpcds,3,12.45
query97.sql,tpcds,3,19.20
query98.sql,tpcds,3,14.64
query99.sql,tpcds,3,14.57
1.sql,tpch,4,31.06
10.sql,tpch,4,22.27
11.sql,tpch,4,12.81
12.sql,tpch,4,18.12
13.sql,tpch,4,17.38
14.sql,tpch,4,15.14
15.sql,tpch,4,17.59
16.sql,tpch,4,19.75
17.sql,tpch,4,36.90
18.sql,tpch,4,34.42
19.sql,tpch,4,15.65
2.sql,tpch,4,21.53
20.sql,tpch,4,25.38
21.sql,tpch,4,32.45
22.sql,tpch,4,15.30
3.sql,tpch,4,22.02
4.sql,tpch,4,17.66
5.sql,tpch,4,25.55
6.sql,tpch,4,11.89
7.sql,tpch,4,25.13
8.sql,tpch,4,28.22
9.sql,tpch,4,33.05
query1.sql,tpcds,4,16.25
query10.sql,tpcds,4,18.74
query11.sql,tpcds,4,42.86
query12.sql,tpcds,4,15.11
query13.sql,tpcds,4,13.66
query14.sql,tpcds,4,8.71
query15.sql,tpcds,4,14.56
query16.sql,tpcds,4,21.15
query17.sql,tpcds,4,28.52
query18.sql,tpcds,4,15.85
query19.sql,tpcds,4,14.98
query2.sql,tpcds,4,15.95
