,query,dataset,runtime
372,15.sql,tpch,3102467
373,28.sql,tpch,3290324
374,35.sql,tpch,1417381
375,36.sql,tpch,1421889
376,19.sql,tpch,1933113
377,22.sql,tpch,324029
378,24.sql,tpch,373682
379,20.sql,tpch,2285268
380,26.sql,tpch,383522
381,33.sql,tpch,401704.0
382,34.sql,tpch,428268.0
383,33.sql,tpch,454092.0
384,6.sql,tpch,1077893.0
385,2.sql,tpch,862670.0
386,1.sql,tpch,1271315.0
387,5.sql,tpch,10103550.0
388,3.sql,tpch,3377998.0
389,7.sql,tpch,4387947.0
390,4.sql,tpch,1755886.0
391,12.sql,tpch,1380023.0
392,11.sql,tpch,499133.0
393,9.sql,tpch,16901204.0
394,14.sql,tpch,1580677.0
395,13.sql,tpch,1214489.0
396,10.sql,tpch,3065791.0
397,8.sql,tpch,13371271.0
398,30.sql,tpch,3642354.0
399,23.sql,tpch,361443.0
400,37.sql,tpch,1420669.0
401,32.sql,tpch,431749.0
402,12.sql,tpch,1533068.0
403,6.sql,tpch,1099440.0
404,21.sql,tpch,17667196.0
405,25.sql,tpch,378771.0
406,17.sql,tpch,13590528.0
407,11.sql,tpch,1385681.0
408,27.sql,tpch,3865585.0
409,9.sql,tpch,24835951.0
410,2.sql,tpch,1074288.0
411,29.sql,tpch,3383261.0
412,30.sql,tpch,2733674.0
413,23.sql,tpch,406452.0
414,37.sql,tpch,1428421.0
415,32.sql,tpch,458452.0
416,12.sql,tpch,1496969.0
417,6.sql,tpch,1106708.0
418,21.sql,tpch,14404861.0
419,25.sql,tpch,389013.0
420,17.sql,tpch,10474304.0
421,11.sql,tpch,949688.0
422,27.sql,tpch,3202518.0
423,33.sql,tpch,401704.0
424,34.sql,tpch,428268.0
425,33.sql,tpch,454092.0
426,6.sql,tpch,1077893.0
427,2.sql,tpch,862670.0
428,1.sql,tpch,1271315.0
429,5.sql,tpch,10103550.0
430,3.sql,tpch,3377998.0
431,7.sql,tpch,4387947.0
432,4.sql,tpch,1755886.0
433,12.sql,tpch,1380023.0
434,11.sql,tpch,499133.0
435,9.sql,tpch,16901204.0
436,14.sql,tpch,1580677.0
437,13.sql,tpch,1214489.0
438,10.sql,tpch,3065791.0
439,8.sql,tpch,13371271.0
440,23.sql,tpch,395713.0
441,25.sql,tpch,430988.0
442,27.sql,tpch,3463412.0
443,29.sql,tpch,3561179.0
444,28.sql,tpch,3516943.0
445,24.sql,tpch,358575.0
446,26.sql,tpch,348850.0
447,30.sql,tpch,3509284.0
448,37.sql,tpch,1408195.0
449,32.sql,tpch,418251.0
450,33.sql,tpch,427096.0
451,34.sql,tpch,442374.0
452,31.sql,tpch,429256.0
453,36.sql,tpch,1412469.0
454,35.sql,tpch,1398704.0
455,29.sql,tpch,3286250
456,13.sql,tpch,1176642
457,5.sql,tpch,10100384
458,31.sql,tpch,411087
459,17.sql,tpch,12447581
460,1.sql,tpch,1231308
461,14.sql,tpch,1549247
462,36.sql,tpch,1408933
463,21.sql,tpch,14603896
464,28.sql,tpch,3225327
465,35.sql,tpch,1425392
466,4.sql,tpch,1850993
467,7.sql,tpch,4531905
468,24.sql,tpch,425269
469,8.sql,tpch,12381773
470,10.sql,tpch,2861514
471,3.sql,tpch,3564069
472,26.sql,tpch,361490
473,17.sql,tpch,11269030
474,1.sql,tpch,1277056
475,14.sql,tpch,1617209
476,36.sql,tpch,1423827
477,29.sql,tpch,3194109
478,7.sql,tpch,4485292
479,26.sql,tpch,358753
480,3.sql,tpch,3583762
481,24.sql,tpch,400291
482,8.sql,tpch,11699147
483,13.sql,tpch,1183048
484,5.sql,tpch,9160040
485,28.sql,tpch,2997295
486,35.sql,tpch,1420958
487,16.sql,tpch,180796
488,19.sql,tpch,1924357
489,18.sql,tpch,11503066
490,21.sql,tpch,17388174
491,10.sql,tpch,3417986
492,7.sql,tpch,4618453
493,24.sql,tpch,378257
494,1.sql,tpch,1279046
495,20.sql,tpch,2449424
496,28.sql,tpch,3653796
497,35.sql,tpch,1430396
498,26.sql,tpch,398813
499,29.sql,tpch,3484223
500,14.sql,tpch,1635583
501,13.sql,tpch,1262573
502,31.sql,tpch,373832
503,36.sql,tpch,1420677
504,3.sql,tpch,4163280
505,16.sql,tpch,241817
506,4.sql,tpch,1642415
507,8.sql,tpch,12669363
508,19.sql,tpch,1934762
509,17.sql,tpch,11682957
510,15.sql,tpch,3097043
511,5.sql,tpch,10225615
512,22.sql,tpch,302210
513,15.sql,tpch,3102467
514,28.sql,tpch,3290324
515,35.sql,tpch,1417381
516,36.sql,tpch,1421889
517,19.sql,tpch,1933113
518,22.sql,tpch,324029
519,24.sql,tpch,373682
520,20.sql,tpch,2285268
521,26.sql,tpch,383522
522,15.sql,tpch,3112142
523,28.sql,tpch,3554032
524,35.sql,tpch,1418961
525,19.sql,tpch,1923120
526,20.sql,tpch,2227718
527,36.sql,tpch,1422778
528,19.sql,tpch,1892250
529,15.sql,tpch,3039950
530,22.sql,tpch,397464
531,24.sql,tpch,381697
532,20.sql,tpch,2372728
533,22.sql,tpch,330262
534,26.sql,tpch,402076
